Authors,Title,Journal,Abstract
"['Lamanna J', 'Sulpizio S', 'Ferro M', 'Martoni R', 'Abutalebi J', 'Malgaroli A.']",Behavioral assessment of activity-based-anorexia: how cognition can become the drive wheel.,Physiol Behav,"Anorexia Nervosa (AN) is a disorder with a dramatic impact on both the individual and society. Besides severe weight loss, excessive physical exercise and cognitive disturbances can be present in patients with AN as primary symptoms of the pathology or as secondary effects induced by physical and metabolic alterations. Mechanistic research in this field has taken advantage of a well characterized animal model, the activity-based anorexia model (ABA). ABA rodents and subjects with AN show clear behavioral and physiological similarities, but a throughout neurocognitive assessment of the model is still missing. Here, we review the available literature in the ABA field, highlighting similarities between ABA and AN at the behavioral, neurophysiological and cognitive level. Furthermore, based on availability, feasibility and adaptability of rodent behavioral protocols, we propose a set of neurocognitive assays that can be performed on the ABA. The proposed assessment represents an important step forward in the validation and extension of the ABA model, opening several routes of investigation related to AN and other eating disorders."
"['Welch AC', 'Katzka WR', 'Dulawa SC.']",Assessing Activity-based Anorexia in Mice.,J Vis Exp,"Rodents develop activity-based anorexia (ABA) when exposed to a restricted feeding schedule and allowed free access to a running wheel. These conditions lead to a life-threatening reduction in body weight. However, rodents exposed to only one of these conditions ultimately adapt to re-establish normal body weight. Although increased running coupled with reduction in voluntary food intake appear paradoxical under ABA conditions, ABA behavior is observed across numerous mammalian species. The ABA paradigm provides an animal model for anorexia nervosa (AN), an eating disorder with severe dysregulation of appetite-behavior. Subjects are singly housed with free access to a running wheel. Each day, the subject is offered food for a limited amount of time. During the course of the experiment, a subject's body weight decreases from high activity and low caloric intake. The duration of the study varies based on how long food is offered daily, the type of food offered, the strain of mouse, if drugs are being tested, and environmental factors. A lack of effective pharmacological treatments for AN patients, their low quality of life, high cost of treatment, and their high mortality rate indicate the urgency to further research AN. We provide a basic outline for performing ABA experiments with mice, offering a method to investigate AN-like behavior in order to develop novel therapies. This protocol is optimized for use in Balb/cJ mice, but can easily be manipulated for other strains, providing great flexibility in working with different questions, especially related to genetic factors of ABA."
['Fessler DM.'],Pseudoparadoxical impulsivity in restrictive anorexia nervosa: a consequence of the logic of scarcity.,Int J Eat Disord,"Objective:
        
      
      To explain an apparently paradoxical pattern wherein sufferers of restrictive anorexia nervosa exhibit both rigorous self-restraint and episodic impulsivity.
    


          Method:
        
      
      The experimental, historical, and clinical literatures were examined for evidence of psychological and behavioral changes accompanying severe dietary constriction; such changes were noted and compared with those reported to occur in anorexics.
    


          Results:
        
      
      Increased impulsivity in association with dietary constriction is described in diverse literatures. A number of lines of evidence suggest that the serotonergic system mediates this change.
    


          Discussion:
        
      
      Many forms of impulsivity can be understood as having once constituted fitness-enhancing responses to resource scarcity. It is suggested that an evolved psychological mechanism calibrates the individual's sensitivity to risk in light of future prospects. Self-injurious behaviors are explicable as misfirings of such a mechanism. Similarly, excessive exercising by anorexics may reflect the misdirection of reward systems that normally encourage adaptive increases in ranging behavior under conditions of scarcity."
"['de Paz A', 'Vidal P', 'Pellón R.']","Exercise, diet, and the reinforcing value of food in an animal model of anorexia nervosa.",Q J Exp Psychol (Hove),"Activity-based anorexia (ABA) develops when laboratory rats are subjected to a single meal per day and have access to an activity wheel for the remaining time. Here, we studied the contribution of exercise and diet to the reinforcing value of food during ABA development. Three groups of eight adult male Wistar rats were used: an ABA group with 21.5 hr (then 22 hr) of wheel access and 1 hr (then 30 min) of food access, a control group with the same time exposure to food but without exercise, and a yoked group to the ABA in terms of weight loss. Rats were daily tested on a progressive-ratio schedule to measure their motivation for food. ABA rats gradually reduced their body weight more than the food control group. Animals steadily increased their breaking points in parallel to losses in body weight, but no significant differences were found between groups. Adult rats can develop ABA, but their loss in weight neither resulted in a decrease of food intake nor in the motivation to obtain it."
"['Støving RK', 'Andries A', 'Brixen K', 'Flyvbjerg A', 'Hørder K', 'Frystyk J.']","Leptin, ghrelin, and endocannabinoids: potential therapeutic targets in anorexia nervosa.",J Psychiatr Res,"Anorexia nervosa (AN) has the highest mortality rate between psychiatric disorders, and evidence for managing it is still very limited. So far, pharmacological treatment has focused on a narrow range of drugs and only a few controlled studies have been performed. Furthermore, the studies have been of short duration and included a limited number of subjects, often heterogenic with regard to stage and acute nutritive status. Thus, novel approaches are urgently needed. Body weight homeostasis is tightly regulated throughout life. With the discovery of orexigenic and anorectic signals, an array of new molecular targets to control eating behavior has emerged. This review focuses on recent advances in three important signal systems: leptin, ghrelin, and endocannabinoids toward the identification of potential therapeutical breakthroughs in AN. Our review of the current literature shows that leptin may have therapeutic potentials in promoting restoration of menstrual cycles in weight restored patients, reducing motor restlessness in severely hyperactive patients, and preventing osteoporosis in chronic patients. Ghrelin and endocannabinoids exert orexigenic effects which may facilitate nutritional restoration. Leptin and endocannabinoids may exert antidepressive and anxiolytic effects. Finally, monitoring serum concentration of leptin may be useful in order to prevent refeeding syndrome."
"['Fraga A', 'Carreira MC', 'Gonzalez-Izquierdo A', 'Diéguez C', 'López M', 'Gutiérrez E.']",Temperature but not leptin prevents semi-starvation induced hyperactivity in rats: implications for anorexia nervosa treatment.,Sci Rep,"The hypothesis linking hyperactivity with weight loss associated hypoleptinemia in anorexia nervosa gained momentum after a study showing that leptin suppressed semi-starvation induced hyperactivity in rats. Alternatively, ambient temperature is a key modulating factor of activity in semi-starved rats. The aim of the study is to compare the efficacy of leptin with increased ambient temperature in the prevention of hyperactivity in semi-starved rats. 74 Sprague-Dawley male rats were employed in two experiments with the difference residing in the length of baseline. After an extended (28 days), or shorter (14 days) baseline with free access to food and the running wheel, housed at 21 °C, animals were either ad-lib feed or food restricted (60% of food ingested during previous week) and infused with same amount of leptin at 21 °C, 25 °C, or vehicle at 21 °C, 25 °C and 32 °C for a week. Animals housed at 32 °C significantly reduced wheel running and weight loss during food restriction while animals given leptin did not yield no differences in activity or weight loss. Moreover, unlike animals housed at 32 °C, body temperature of leptin infused animals housed at 21 °C was significantly reduced during food restriction. Furthermore, leptin treated rats without a preceding stable pattern of activity displayed a severe dysregulation of circadian rhythm in activity and a collapse of body temperature. Housing temperature plays a more critical role than leptin in the regulation of semi-starvation induced hyperactivity in rats, which may be of relevance for the management of hyperactivity in anorexia nervosa."
"['Allen PJ', 'Jimerson DC', 'Kanarek RB', 'Kocsis B.']",Impaired reversal learning in an animal model of anorexia nervosa.,Physiol Behav,"Background:
        
      
      Clinical investigations indicate that anorexia nervosa (AN) is associated with impaired cognitive flexibility. Activity-based anorexia (ABA), a rodent behavioral model of AN, is characterized by compulsive wheel running associated with voluntary food restriction and progressive weight loss. The goal of this study was to test whether ABA is associated with impaired cognitive flexibility.
    


          Methods:
        
      
      Female Sprague-Dawley rats were trained to perform the attentional set-shifting test (ASST) to assess cognitive flexibility, including capacity for set-shifting and reversal learning. Rats were assigned to ABA or weight-loss paired control (WPC) conditions. Following baseline testing, the ABA group had access to food for 1h/d and access to running wheels 23h/d until 20% weight loss was voluntarily achieved. For the WPC group, running wheels were locked and access to food was restricted to reduce body weight at the same rate as the ABA group. ASST performance was assessed after weight loss, and again following weight recovery.
    


          Results:
        
      
      Compared to baseline, the ABA group (but not the WPC group) showed a significant decrement in reversal learning at low weight, with return to baseline performance following weight restoration. The other components of ASST were not affected.
    


          Conclusions:
        
      
      Impaired reversal learning, indicative of increased perseverative responding, in the ABA model reveals its potential to recapitulate selective components of cortical dysfunction in AN. This finding supports the utility of the ABA model for investigations of the neural mechanisms underlying such deficits. Reversal learning relies on neural circuits involving the orbitofrontal cortex and thus the results implicate orbitofrontal abnormalities in AN-like state."
"['Robinette TM', 'Nicholatos JW', 'Francisco AB', 'Brooks KE', 'Diao RY', 'Sorbi S', 'Ricca V', 'Nacmias B', 'Brieño-Enríquez MA', 'Libert S.']",SIRT1 accelerates the progression of activity-based anorexia.,Nat Commun,"Food consumption is fundamental for life, and eating disorders often result in devastating or life-threatening conditions. Anorexia nervosa (AN) is characterized by a persistent restriction of energy intake, leading to lowered body weight, constant fear of gaining weight, and psychological disturbances of body perception. Herein, we demonstrate that SIRT1 inhibition, both genetically and pharmacologically, delays the onset and progression of AN behaviors in activity-based anorexia (ABA) models, while SIRT1 activation accelerates ABA phenotypes. Mechanistically, we suggest that SIRT1 promotes progression of ABA, in part through its interaction with NRF1, leading to suppression of a NMDA receptor subunit Grin2A. Our results suggest that AN may arise from pathological positive feedback loops: voluntary food restriction activates SIRT1, promoting anxiety, hyperactivity, and addiction to starvation, exacerbating the dieting and exercising, thus further activating SIRT1. We propose SIRT1 inhibition can break this cycle and provide a potential therapy for individuals suffering from AN."
"['Reyes-Haro D', 'Labrada-Moncada FE', 'Varman DR', 'Krüger J', 'Morales T', 'Miledi R', 'Martínez-Torres A.']",Anorexia Reduces GFAP+ Cell Density in the Rat Hippocampus.,Neural Plast,"Anorexia nervosa is an eating disorder observed primarily in young women. The neurobiology of the disorder is unknown but recently magnetic resonance imaging showed a volume reduction of the hippocampus in anorexic patients. Dehydration-induced anorexia (DIA) is a murine model that mimics core features of this disorder, including severe weight loss due to voluntary reduction in food intake. The energy supply to the brain is mediated by astrocytes, but whether their density is compromised by anorexia is unknown. Thus, the aim of this study was to estimate GFAP+ cell density in the main regions of the hippocampus (CA1, CA2, CA3, and dentate gyrus) in the DIA model. Our results showed that GFAP+ cell density was significantly reduced (~20%) in all regions of the hippocampus, except in CA1. Interestingly, DIA significantly reduced the GFAP+ cells/nuclei ratio in CA2 (-23%) and dentate gyrus (-48%). The reduction of GFAP+ cell density was in agreement with a lower expression of GFAP protein. Additionally, anorexia increased the expression of the intermediate filaments vimentin and nestin. Accordingly, anorexia increased the number of reactive astrocytes in CA2 and dentate gyrus more than twofold. We conclude that anorexia reduces the hippocampal GFAP+ cell density and increases vimentin and nestin expression."
"['Colldén G', 'Tschöp MH', 'Müller TD.']",Therapeutic Potential of Targeting the Ghrelin Pathway.,Int J Mol Sci,"Ghrelin was discovered in 1999 as the endogenous ligand of the growth-hormone secretagogue receptor 1a (GHSR1a). Since then, ghrelin has been found to exert a plethora of physiological effects that go far beyond its initial characterization as a growth hormone (GH) secretagogue. Among the numerous well-established effects of ghrelin are the stimulation of appetite and lipid accumulation, the modulation of immunity and inflammation, the stimulation of gastric motility, the improvement of cardiac performance, the modulation of stress, anxiety, taste sensation and reward-seeking behavior, as well as the regulation of glucose metabolism and thermogenesis. Due to a variety of beneficial effects on systems' metabolism, pharmacological targeting of the endogenous ghrelin system is widely considered a valuable approach to treat metabolic complications, such as chronic inflammation, gastroparesis or cancer-associated anorexia and cachexia. The aim of this review is to discuss and highlight the broad pharmacological potential of ghrelin pathway modulation for the treatment of anorexia, cachexia, sarcopenia, cardiopathy, neurodegenerative disorders, renal and pulmonary disease, gastrointestinal (GI) disorders, inflammatory disorders and metabolic syndrome."
"['Bailer UF', 'Kaye WH.']",A review of neuropeptide and neuroendocrine dysregulation in anorexia and bulimia nervosa.,Curr Drug Targets CNS Neurol Disord,"Neuropeptides play an important role in the regulation of feeding behavior and obesity. The mechanisms for controlling food intake involve a complicated interplay between peripheral systems (including gustatory stimulation, gastrointestinal peptide secretion, and vagal afferent nerve responses) and central nervous system (CNS) neuropeptides and/or monoamines. These neuronal systems include neuropeptides (CRH, opioids, neuropeptide-Y (NPY) and peptide YY (PYY), vasopressin and oxytocin, CCK, and leptin) and monamines (serotonin, dopamine, norepinephrine). In addition to regulating eating behavior, a number of CNS neuropeptides participate in the regulation of neuroendocrine pathways. Thus, clinical studies have evaluated the possibility that CNS neuropeptide alterations may contribute to dysregulated secretion of the gonadal hormones, cortisol, thyroid hormones and growth hormone in the eating disorders. Most of the neuroendocrine and neuropeptide alterations apparent during symptomatic episodes of AN and BN tend to normalize after recovery. This observation suggests that most of the disturbances are consequences rather than causes of malnutrition, weight loss and/or altered meal patterns. Still, an understanding of these neuropeptide disturbances may shed light on why many people with AN or BN cannot easily ""reverse"" their illness and even after weight gain and normalized eating patterns, many individuals who have recovered from AN or BN have physiological, behavioral and psychological symptoms that persist for extended periods of time."
"['Chan JL', 'Mantzoros CS.']",Role of leptin in energy-deprivation states: normal human physiology and clinical implications for hypothalamic amenorrhoea and anorexia nervosa.,Lancet,"Leptin is an adipocyte-secreted hormone that plays a key part in energy homoeostasis. Advances in leptin physiology have established that the main role of this hormone is to signal energy availability in energy-deficient states. Studies in animals and human beings have shown that low concentrations of leptin are fully or partly responsible for starvation-induced changes in neuroendocrine axes, including low reproductive, thyroid, and insulin-like growth factor (IGF) hormones. Disease states such as exercise-induced hypothalamic amenorrhoea and anorexia nervosa are also associated with low concentrations of leptin and a similar spectrum of neuroendocrine abnormalities. We have recently shown in an interventional, proof-of-concept study that leptin can restore ovulatory menstrual cycles and improve reproductive, thyroid, and IGF hormones and bone markers in hypothalamic amenorrhoea. Further studies are warranted to establish the safety and effectiveness of leptin for the infertility and osteoporosis associated with hypothalamic amenorrhoea, and to clarify its role in anorexia nervosa."
"['Avraham Y', 'Paturski I', 'Magen I', 'Vorobiev L', 'Berry EM.']",2-Arachidonoylglycerol as a possible treatment for anorexia nervosa in animal model in mice.,Brain Res,"We have investigated the effects of 0.001mg/kg 2-arachidonoylglycerol (2-AG) administered in combination with compounds present in the body alongside 2-AG like 2-palmitoylglycerol and 2-linoleylglycerol (also termed ""entourage""), on cognitive function,food intake, and neurotransmitter levels in the hippocampus and hypothalamus of mice under diet restriction. Young female Sabra mice were treated with vehicle, 2-AG, 2-AG+entourage, 2-AG+entourage+5-(4-Chlorophenyl)-1-(2,4-dichloro-phenyl)- 4-methyl-N-(piperidin-1-yl)-1H-pyrazole-3-carboxamide (SR141716A, a CB1 antagonist) and SR141716A. The mice were fed for 2.5h a day for 14days. Cognitive function was evaluated by the eight arm maze test, and neurotransmitter (norepinephrine, dopamine, L-DOPA and serotonin) levels were measured in the hippocampus and hypothalamus by high-performance liquid chromatography-electrochemical detection. Food intake was increased by 2-AG and, to an even greater extent, by 2-AG+entourage. SR141716A reversed the effect of 2-AG+entourage. The administration of 2-AG+entourage improved cognitive function compared to the vehicle mice, and this improvement was blocked by SR141716A. 2-AG+entourage-treated mice showed an increase in norepinephrine (NE), dopamine and L-DOPA levels in the hippocampus. SR141716A normalized NE and L-DOPA levels. There were no significant changes in hypothalamic neurotransmitter levels. The use of very low doses of the endocannabinoid 2-AG+entourage can improve cognitive function by elevating norepinephrine and L-DOPA levels in the hippocampus, without cannabinomimetic side effects. These findings may have implications for cognitive enhancement in anorexia nervosa."
"['Chowdhury TG', 'Chen YW', 'Aoki C.']",Using the Activity-based Anorexia Rodent Model to Study the Neurobiological Basis of Anorexia Nervosa.,J Vis Exp,"Anorexia nervosa (AN) is a psychiatric illness characterized by excessively restricted caloric intake and abnormally high levels of physical activity. A challenging illness to treat, due to the lack of understanding of the underlying neurobiology, AN has the highest mortality rate among psychiatric illnesses. To address this need, neuroscientists are using an animal model to study how neural circuits may contribute toward vulnerability to AN and may be affected by AN. Activity-based anorexia (ABA) is a bio-behavioral phenomenon described in rodents that models the key symptoms of anorexia nervosa. When rodents with free access to voluntary exercise on a running wheel experience food restriction, they become hyperactive - running more than animals with free access to food. Here, we describe the procedures by which ABA is induced in adolescent female C57BL/6 mice. On postnatal day 36 (P36), the animal is housed with access to voluntary exercise on a running wheel. After 4 days of acclimation to the running wheel, on P40, all food is removed from the cage. For the next 3 days, food is returned to the cage (allowing animals free food access) for 2 hr daily. After the fourth day of food restriction, free access to food is returned and the running wheel is removed from the cage to allow the animals to recover. Continuous multi-day analysis of running wheel activity shows that mice become hyperactive within 24 hr following the onset of food restriction. The mice run even during the limited time during which they have access to food. Additionally, the circadian pattern of wheel running becomes disrupted by the experience of food restriction. We have been able to correlate neurobiological changes with various aspects of the animals' wheel running behavior to implicate particular brain regions and neurochemical changes with resilience and vulnerability to food-restriction induced hyperactivity."
"['Vaswani M', 'Kalra H.']",Selective serotonin re-uptake inhibitors in anorexia nervosa.,Expert Opin Investig Drugs,"Anorexia nervosa (AN), one of the major eating disorders, is a primarily psychiatric illness affecting a number of adolescents and young adults. AN usually runs a chronic course and is associated with significant morbidity and mortality. Drug therapy has modest success in its treatment. Various pharmacotherapeutic agents are being tested, with variable success. Selective serotonin re-uptake inhibitors are the one class of drug that has been found to be effective in AN, especially in preventing relapse. This article provides an overview of the current literature on the role of selective serotonin re-uptake inhibitors in the treatment of AN."
"['Adan RA', 'Hillebrand JJ', 'Danner UN', 'Cardona Cano S', 'Kas MJ', 'Verhagen LA.']",Neurobiology driving hyperactivity in activity-based anorexia.,Curr Top Behav Neurosci,"Hyperactivity in anorexia nervosa is difficult to control and negatively impacts outcome. Hyperactivity is a key driving force to starvation in an animal model named activity-based anorexia (ABA). Recent research has started unraveling what mechanisms underlie this hyperactivity. Besides a general increase in locomotor activity that may be an expression of foraging behavior and involves frontal brain regions, the increased locomotor activity expressed before food is presented (food anticipatory behavior or FAA) involves hypothalamic neural circuits. Ghrelin plays a role in FAA, whereas decreased leptin signaling is involved in both aspects of increased locomotor activity. We hypothesize that increased ghrelin and decreased leptin signaling drive the activity of dopamine neurons in the ventral tegmental area. In anorexia nervosa patients, this altered activity of the dopamine system may be involved not only in hyperactivity but also in aberrant cognitive processing related to food."
['Keating GM.'],Mecasermin.,BioDrugs,"Mecasermin (recombinant human insulin-like growth factor-I [IGF-I]) is approved in the US for the long-term treatment of growth failure in children with severe primary IGF-I deficiency or with growth hormone (GH) gene deletion who have developed neutralizing antibodies to GH, and in the EU for the long-term treatment of growth failure in children and adolescents with severe primary IGF-I deficiency. Subcutaneous mecasermin 0.12 mg/kg twice daily stimulated linear growth in children with growth failure and severe IGF-I deficiency associated with GH insensitivity, according to the results of a noncomparative, multicenter trial (n = 76) [mean duration of therapy 4.4 years; range 0.04-12.5 years]. During the first year of treatment, height velocity significantly increased from a mean 2.8 cm/year at baseline to a mean 8.0 cm/year; mean growth velocities remained above baseline for up to 8 years. Mecasermin also promoted statural growth in a small noncomparative trial in children with growth failure and GH insensitivity syndrome (n = 8). After 6.5-7.5 years of mecasermin therapy, the mean increase in the height standard deviation score was +1.4. Mecasermin was also shown to have beneficial effects in various other conditions including diabetes mellitus and anorexia nervosa. Subcutaneous mecasermin was generally well tolerated in children with severe IGF-I deficiency associated with GH insensitivity."
"['Scacchi M', 'Pincelli AI', 'Cavagnini F.']",Nutritional status in the neuroendocrine control of growth hormone secretion: the model of anorexia nervosa.,Front Neuroendocrinol,"Growth hormone (GH) plays a key role not only in the promotion of linear growth but also in the regulation of intermediary metabolism, body composition, and energy expenditure. On the whole, the hormone appears to direct fuel metabolism towards the preferential oxidation of lipids instead of glucose and proteins, and to convey the energy derived from metabolic processes towards the synthesis of proteins. On the other hand, body energy stores and circulating energetic substrates take an important part in the regulation of somatotropin release. Finally, central and peripheral peptides participating in the control of food intake and energy expenditure (neuropeptide Y, leptin, and ghrelin) are also involved in the regulation of GH secretion. Altogether, nutritional status has to be regarded as a major determinant in the regulation of the somatotropin-somatomedin axis in animals and humans. In these latter, overweight is associated with marked impairment of spontaneous and stimulated GH release, while acute dietary restriction and chronic undernutrition induce an amplification of spontaneous secretion together with a clear-cut decrease in insulin-like growth factor I (IGF-I) plasma levels. Thus, over- and undernutrition represent two conditions connoted by GH hypersensitivity and GH resistance, respectively. Anorexia nervosa (AN) is a psychiatric disorder characterized by peculiar changes of the GH-IGF-I axis. In these patients, low circulating IGF-I levels are associated with enhanced GH production rate, highly disordered mode of somatotropin release, and variability of GH responsiveness to different pharmacological challenges. These abnormalities are likely due not only to the lack of negative IGF-I feedback, but also to a primary hypothalamic alteration with increased frequency of growth hormone releasing hormone discharges and decreased somatostatinergic tone. Given the reversal of the above alterations following weight recovery, these abnormalities can be seen as secondary, and possibly adaptive, to nutritional deprivation. The model of AN may provide important insights into the pathophysiology of GH secretion, in particular as regards the mechanisms whereby nutritional status effects its regulation."
"['Swardfager W', 'Hennebelle M', 'Yu D', 'Hammock BD', 'Levitt AJ', 'Hashimoto K', 'Taha AY.']",Metabolic/inflammatory/vascular comorbidity in psychiatric disorders; soluble epoxide hydrolase (sEH) as a possible new target.,Neurosci Biobehav Rev,"The common and severe psychiatric disorders, including major depressive disorder (MDD) and bipolar disorder (BD), are associated with inflammation, oxidative stress and changes in peripheral and brain lipid metabolism. Those pathways are implicated in the premature development of vascular and metabolic comorbidities, which account for considerable morbidity and mortality, including increased dementia risk. During endoplasmic reticulum stress, the soluble epoxide hydrolase (sEH) enzyme converts anti-inflammatory fatty acid epoxides generated by cytochrome p450 enzymes into their corresponding and generally less anti-inflammatory, or even pro-inflammatory, diols, slowing the resolution of inflammation. The sEH enzyme and its oxylipin products are elevated post-mortem in MDD, BD and schizophrenia. Preliminary clinical data suggest that oxylipins increase with symptoms in seasonal MDD and anorexia nervosa, requiring confirmation in larger studies and other cohorts. In rats, a soluble sEH inhibitor mitigated the development of depressive-like behaviors. We discuss sEH inhibitors under development for cardiovascular diseases, post-ischemic brain injury, neuropathic pain and diabetes, suggesting new possibilities to address the mood and cognitive symptoms of psychiatric disorders, and their most common comorbidities."
"['Zgheib S', 'Méquinion M', 'Lucas S', 'Leterme D', 'Ghali O', 'Tolle V', 'Zizzari P', 'Bellefontaine N', 'Legroux-Gérot I', 'Hardouin P', 'Broux O', 'Viltart O', 'Chauveau C.']",Long-term physiological alterations and recovery in a mouse model of separation associated with time-restricted feeding: a tool to study anorexia nervosa related consequences.,PLoS One,"Background:
        
      
      Anorexia nervosa is a primary psychiatric disorder, with non-negligible rates of mortality and morbidity. Some of the related alterations could participate in a vicious cycle limiting the recovery. Animal models mimicking various physiological alterations related to anorexia nervosa are necessary to provide better strategies of treatment.
    


          Aim:
        
      
      To explore physiological alterations and recovery in a long-term mouse model mimicking numerous consequences of severe anorexia nervosa.
    


          Methods:
        
      
      C57Bl/6 female mice were submitted to a separation-based anorexia protocol combining separation and time-restricted feeding for 10 weeks. Thereafter, mice were housed in standard conditions for 10 weeks. Body weight, food intake, body composition, plasma levels of leptin, adiponectin, IGF-1, blood levels of GH, reproductive function and glucose tolerance were followed. Gene expression of several markers of lipid and energy metabolism was assayed in adipose tissues.
    


          Results:
        
      
      Mimicking what is observed in anorexia nervosa patients, and despite a food intake close to that of control mice, separation-based anorexia mice displayed marked alterations in body weight, fat mass, lean mass, bone mass acquisition, reproductive function, GH/IGF-1 axis, and leptinemia. mRNA levels of markers of lipogenesis, lipolysis, and the brown-like adipocyte lineage in subcutaneous adipose tissue were also changed. All these alterations were corrected during the recovery phase, except for the hypoleptinemia that persisted despite the full recovery of fat mass.
    


          Conclusion:
        
      
      This study strongly supports the separation-based anorexia protocol as a valuable model of long-term negative energy balance state that closely mimics various symptoms observed in anorexia nervosa, including metabolic adaptations. Interestingly, during a recovery phase, mice showed a high capacity to normalize these parameters with the exception of plasma leptin levels. It will be interesting therefore to explore further the central and peripheral effects of the uncorrected hypoleptinemia during recovery from separation-based anorexia."
"['Scharner S', 'Friedrich T', 'Goebel-Stengel M', 'Kobelt P', 'Rose M', 'Stengel A.']",Activity-based anorexia activates CRF immunoreactive neurons in female rats.,Neurosci Lett,"Activity-based anorexia (ABA) is a well-established animal model mimicking the eating disorder anorexia nervosa (AN). Since the pathophysiology of AN is yet poorly understood and specific drug treatments are lacking so far, animal models might be useful to further understand this disease. ABA consists of time-restricted access to food for 1.5 h/day and the possibility to exercise in a running wheel for 24 h/day. This combination leads to robust body weight loss as observed in AN. Here, we investigated the activation of brain corticotropin-releasing factor (CRF) neurons, a transmitter involved in the response to stress, emotional processes and also food intake. After development of ABA, rat brains were processed for c-Fos and CRF double immunohistochemistry. ABA increased the number of c-Fos/CRF double labeled neurons in the paraventricular nucleus (PVN) and the dorsomedial hypothalamic nucleus (DMH) compared to the ad libitum (AL, ad libitum fed, no running wheel) and activity (AC, ad libitum fed, running wheel, p < 0.05) but not to the restricted feeding (RF, food for 1.5 h/day, no running wheel, p > 0.05) group. Also the number of CRF neurons was increased in the DMH of ABA rats compared to AL and AC (p < 0.05). In the Edinger-Westphal nucleus (EW) the number of c-Fos positive neurons was increased in ABA and RF compared to AC (p < 0.05), while the number of double labeled neurons was not different (p > 0.05). Taken together, brain CRF activated under conditions of ABA might play a role in the development and maintenance of this animal model and possibly also in human AN."
"['Carrera O', 'Fraga Á', 'Pellón R', 'Gutiérrez E.']",Rodent model of activity-based anorexia.,Curr Protoc Neurosci,"Activity-based anorexia (ABA) consists of a procedure that involves the simultaneous exposure of animals to a restricted feeding schedule, while free access is allowed to an activity wheel. Under these conditions, animals show a progressive increase in wheel running, a reduced efficiency in food intake to compensate for their increased activity, and a severe progression of weight loss. Due to the parallelism with the clinical manifestations of anorexia nervosa including increased activity, reduced food intake and severe weight loss, the ABA procedure has been proposed as the best analog of human anorexia nervosa (AN). Thus, ABA research could both allow a better understanding of the mechanisms underlying AN and generate useful leads for treatment development in AN."
"['Treasure J', 'Eid L.']",Eating disorder animal model.,Curr Opin Psychiatry,"Purpose of review:
        
      
      The aim of this review is to describe animal models that simulate the features of eating disorders. The literature pertaining to animal models that are of relevance for clinical eating disorders and the possible underpinning mechanisms was reviewed using PubMed, Ovid database and Google Scholar.
    


          Recent findings:
        
      
      New refinements of the circuits regulated by neurotransmitters and neuropeptides which instigate eating behaviours and the various feedback pathways which monitor acute and chronic nutrient status continue to be discovered. Moreover, work with the animal models that simulate the behavioural features and risk factors related to eating disorders is flourishing and providing new insights into possible causal mechanisms. For example, rodents develop binge-eating behaviours if they are intermittently exposed to processed, palatable foods and/or sugar adulterated drinks. This led to the controversial conceptualization of binge eating as a form of food addiction. Self-starvation taken to a fatal consequence such as occurs in anorexia nervosa can emerge in rodents exposed to triggers like social exclusion and/or the opportunity to exercise.
    


          Summary:
        
      
      There are plausible animal models for both anorexia nervosa and binge-eating disorders. These can be used to elaborate the theoretical models to explain the mechanisms underpinning eating disorders."
"['Scherma M', 'Collu R', 'Satta V', 'Giunti E', 'Fadda P.']",Animal Models of Eating Disorders.,Methods Mol Biol,"Eating disorders (EDs) include a range of chronic and disabling pathologies characterized by persistent maladaptive eating habits and/or behaviors aimed at controlling body shape and size, with important consequences on physical health. Different animal models of EDs have been developed to investigate pharmacological, environmental, and genetic determinants that contribute to the development and maintenance of these disorders as well as for the identification of potential therapeutic targets. In this chapter, we will provide an overview of the most useful animal models of EDs, focusing mainly on those used to study anorexia nervosa and binge eating disorder."
"['Södersten P', 'Bergh C', 'Leon M', 'Brodin U', 'Zandian M.']",Cognitive behavior therapy for eating disorders versus normalization of eating behavior.,Physiol Behav,"We examine the science and evidence supporting cognitive behavior therapy (CBT) for the treatment of bulimia nervosa and other eating disorders. Recent trials focusing on the abnormal cognitive and emotional aspects of bulimia have reported a remission rate of about 45%, and a relapse rate of about 30% within one year. However, an early CBT trial that emphasized the normalization of eating behavior had a better outcome than treatment that focused on cognitive intervention. In support of this finding, another treatment, that restores a normal eating behavior using mealtime feedback, has an estimated remission rate of about 75% and a relapse rate of about 10% over five years. Moreover, when eating behavior was normalized, cognitive and emotional abnormalities were resolved at remission without cognitive therapy. The critical aspect of the CBT treatment of bulimia nervosa therefore may actually have been the normalization of eating behavior."
"['Connan F', 'Campbell IC', 'Katzman M', 'Lightman SL', 'Treasure J.']",A neurodevelopmental model for anorexia nervosa.,Physiol Behav,"This paper integrates genetic and biological data on aetiological risk for anorexia nervosa (AN) with cognitive and psychosocial explanatory models. We have reviewed clinical and basic science data from each of these domains and then used a developmental perspective to formulate a multifactorial threshold model. By positioning interpersonal stress as a central component of this model, psychological, social and biological conceptualisations of AN can be used to generate a data driven, neurodevelopmental hypothesis for the aetiology of this complex disorder."
